"BehaviorSpace results (NetLogo 6.3.0)"
"Sugarscape 3 Wealth Distribution.nlogo"
"experiment"
"09/04/2023 22:16:08:992 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","count turtles","mean [sugar] of turtles"
"8","25","5","no-visualization","800","20","800","19.08625"
"4","25","5","no-visualization","400","39","400","37.9125"
"7","25","5","no-visualization","700","26","700","23.16"
"2","25","5","no-visualization","200","57","200","65.915"
"3","25","5","no-visualization","300","39","300","39.623333333333335"
"4","25","5","no-visualization","400","40","400","38.695"
"8","25","5","no-visualization","800","21","800","19.745"
"6","25","5","no-visualization","600","29","600","26.278333333333332"
"2","25","5","no-visualization","200","58","200","67.075"
"5","25","5","no-visualization","500","37","500","33.15"
"4","25","5","no-visualization","400","41","400","39.3075"
"7","25","5","no-visualization","700","27","700","23.701428571428572"
"3","25","5","no-visualization","300","40","300","40.39333333333333"
"6","25","5","no-visualization","600","30","600","26.791666666666668"
"5","25","5","no-visualization","500","38","500","33.936"
"4","25","5","no-visualization","400","42","400","39.89"
"2","25","5","no-visualization","200","59","200","68.135"
"8","25","5","no-visualization","800","22","800","20.11125"
"3","25","5","no-visualization","300","41","300","41.403333333333336"
"2","25","5","no-visualization","200","60","200","69.185"
"7","25","5","no-visualization","700","28","700","24.268571428571427"
"6","25","5","no-visualization","600","31","600","27.248333333333335"
"1","25","5","no-visualization","100","15","100","26.1"
"3","25","5","no-visualization","300","42","300","42.153333333333336"
"5","25","5","no-visualization","500","39","500","34.816"
"4","25","5","no-visualization","400","43","400","40.725"
"3","25","5","no-visualization","300","43","300","43.04333333333334"
"2","25","5","no-visualization","200","61","200","68.74"
"3","25","5","no-visualization","300","44","300","43.8"
"7","25","5","no-visualization","700","29","700","24.794285714285714"
"8","25","5","no-visualization","800","23","800","20.3725"
"6","25","5","no-visualization","600","32","600","27.81"
"2","25","5","no-visualization","200","62","200","68.56"
"5","25","5","no-visualization","500","40","500","35.438"
"4","25","5","no-visualization","400","44","400","41.5225"
"2","25","5","no-visualization","200","63","200","69.595"
"3","25","5","no-visualization","300","45","300","44.57666666666667"
"7","25","5","no-visualization","700","30","700","25.314285714285713"
"2","25","5","no-visualization","200","64","200","69.285"
"4","25","5","no-visualization","400","45","400","42.375"
"6","25","5","no-visualization","600","33","600","28.486666666666668"
"3","25","5","no-visualization","300","46","300","45.403333333333336"
"2","25","5","no-visualization","200","65","200","69.81"
"8","25","5","no-visualization","800","24","800","20.845"
"1","25","5","no-visualization","100","16","100","27.12"
"3","25","5","no-visualization","300","47","300","46.166666666666664"
"3","25","5","no-visualization","300","48","300","46.986666666666665"
"2","25","5","no-visualization","200","66","200","69.78"
"6","25","5","no-visualization","600","34","600","29.088333333333335"
"7","25","5","no-visualization","700","31","700","26.01"
"5","25","5","no-visualization","500","41","500","36.086"
"4","25","5","no-visualization","400","46","400","43.065"
"3","25","5","no-visualization","300","49","300","47.76"
"2","25","5","no-visualization","200","67","200","69.985"
"3","25","5","no-visualization","300","50","300","48.54333333333334"
"6","25","5","no-visualization","600","35","600","29.733333333333334"
"2","25","5","no-visualization","200","68","200","69.445"
"7","25","5","no-visualization","700","32","700","26.594285714285714"
"2","25","5","no-visualization","200","69","200","69.66"
"2","25","5","no-visualization","200","70","200","69.515"
"5","25","5","no-visualization","500","42","500","36.73"
"4","25","5","no-visualization","400","47","400","43.73"
"3","25","5","no-visualization","300","51","300","49.373333333333335"
"6","25","5","no-visualization","600","36","600","30.29"
"7","25","5","no-visualization","700","33","700","27.32857142857143"
"3","25","5","no-visualization","300","52","300","50.266666666666666"
"2","25","5","no-visualization","200","71","200","69.705"
"4","25","5","no-visualization","400","48","400","44.39"
"1","25","5","no-visualization","100","17","100","28.49"
"6","25","5","no-visualization","600","37","600","30.958333333333332"
"5","25","5","no-visualization","500","43","500","37.448"
"2","25","5","no-visualization","200","72","200","70.005"
"2","25","5","no-visualization","200","73","200","67.965"
"4","25","5","no-visualization","400","49","400","45.155"
"8","25","5","no-visualization","800","25","800","21.41625"
"5","25","5","no-visualization","500","44","500","38.178"
"1","25","5","no-visualization","100","18","100","29.71"
"2","25","5","no-visualization","200","74","200","67.01"
"3","25","5","no-visualization","300","53","300","51.053333333333335"
"7","25","5","no-visualization","700","34","700","27.917142857142856"
"6","25","5","no-visualization","600","38","600","31.495"
"4","25","5","no-visualization","400","50","400","45.885"
"2","25","5","no-visualization","200","75","200","67.8"
"5","25","5","no-visualization","500","45","500","38.888"
"8","25","5","no-visualization","800","26","800","21.81625"
"3","25","5","no-visualization","300","54","300","51.836666666666666"
"2","25","5","no-visualization","200","76","200","66.31"
"4","25","5","no-visualization","400","51","400","46.625"
"6","25","5","no-visualization","600","39","600","32.085"
"3","25","5","no-visualization","300","55","300","52.63333333333333"
"7","25","5","no-visualization","700","35","700","28.447142857142858"
"5","25","5","no-visualization","500","46","500","39.606"
"2","25","5","no-visualization","200","77","200","64.715"
"3","25","5","no-visualization","300","56","300","53.54333333333334"
"4","25","5","no-visualization","400","52","400","47.3275"
"2","25","5","no-visualization","200","78","200","65.815"
"8","25","5","no-visualization","800","27","800","22.1425"
"3","25","5","no-visualization","300","57","300","54.32"
"6","25","5","no-visualization","600","40","600","32.715"
"4","25","5","no-visualization","400","53","400","48.035"
"5","25","5","no-visualization","500","47","500","40.382"
"2","25","5","no-visualization","200","79","200","66.675"
