"BehaviorSpace results (NetLogo 6.3.0)"
"Sugarscape 1 Immediate Growback.nlogo"
"experiment"
"09/04/2023 22:25:44:716 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","visualization","initial-population","[step]","count turtles","mean [sugar] of turtles"
"5","no-visualization","500","11","382","23.87958115183246"
"7","no-visualization","700","34","415","49.77831325301205"
"6","no-visualization","600","48","385","61.82077922077922"
"2","no-visualization","200","69","116","90.04310344827586"
"8","no-visualization","800","10","615","20.445528455284553"
"7","no-visualization","700","35","415","50.80240963855422"
"3","no-visualization","300","90","194","117.76288659793815"
"4","no-visualization","400","17","288","30.46875"
"5","no-visualization","500","12","370","25.40810810810811"
"6","no-visualization","600","49","385","62.8"
"3","no-visualization","300","91","194","118.90721649484536"
"7","no-visualization","700","36","415","51.82650602409639"
"2","no-visualization","200","70","116","91.12931034482759"
"3","no-visualization","300","92","194","120.05154639175258"
"6","no-visualization","600","50","385","63.77922077922078"
"2","no-visualization","200","71","116","92.21551724137932"
"3","no-visualization","300","93","194","121.19587628865979"
"2","no-visualization","200","72","116","93.30172413793103"
"7","no-visualization","700","37","415","52.850602409638554"
"5","no-visualization","500","13","365","26.564383561643837"
"6","no-visualization","600","51","385","64.75844155844156"
"2","no-visualization","200","73","116","94.38793103448276"
"3","no-visualization","300","94","194","122.34020618556701"
"2","no-visualization","200","74","116","95.47413793103448"
"3","no-visualization","300","95","194","123.48453608247422"
"6","no-visualization","600","52","385","65.73766233766234"
"7","no-visualization","700","38","415","53.87469879518072"
"2","no-visualization","200","75","116","96.5603448275862"
"4","no-visualization","400","18","283","31.88339222614841"
"3","no-visualization","300","96","194","124.62886597938144"
"5","no-visualization","500","14","361","27.695290858725762"
"8","no-visualization","800","11","601","21.437603993344425"
"2","no-visualization","200","76","116","97.64655172413794"
"6","no-visualization","600","53","385","66.71688311688311"
"3","no-visualization","300","97","194","125.77319587628865"
"2","no-visualization","200","77","116","98.73275862068965"
"4","no-visualization","400","19","281","33.01423487544484"
"7","no-visualization","700","39","415","54.89879518072289"
"5","no-visualization","500","15","357","28.862745098039216"
"3","no-visualization","300","98","194","126.91752577319588"
"6","no-visualization","600","54","385","67.69610389610389"
"2","no-visualization","200","78","116","99.81896551724138"
"3","no-visualization","300","99","194","128.06185567010309"
"2","no-visualization","200","79","116","100.90517241379311"
"7","no-visualization","700","40","415","55.92289156626506"
"6","no-visualization","600","55","385","68.67532467532467"
"3","no-visualization","300","100","194","129.20618556701032"
"4","no-visualization","400","20","276","34.539855072463766"
"8","no-visualization","800","12","578","22.8719723183391"
"2","no-visualization","200","80","116","101.99137931034483"
"7","no-visualization","700","41","415","56.94698795180723"
"5","no-visualization","500","16","353","30.070821529745043"
"2","no-visualization","200","81","116","103.07758620689656"
"6","no-visualization","600","56","385","69.65454545454546"
"2","no-visualization","200","82","116","104.16379310344827"
"6","no-visualization","600","57","385","70.63376623376624"
"7","no-visualization","700","42","415","57.971084337349396"
"2","no-visualization","200","83","116","105.25"
"1","no-visualization","100","7","89","18.685393258426966"
"2","no-visualization","200","84","116","106.33620689655173"
"6","no-visualization","600","58","385","71.61298701298702"
"2","no-visualization","200","85","116","107.42241379310344"
"7","no-visualization","700","43","415","58.99518072289157"
"6","no-visualization","600","59","385","72.59220779220779"
"2","no-visualization","200","86","116","108.50862068965517"
"4","no-visualization","400","21","269","36.41263940520446"
"7","no-visualization","700","44","415","60.019277108433734"
"8","no-visualization","800","13","570","23.840350877192982"
"5","no-visualization","500","17","350","31.228571428571428"
"2","no-visualization","200","87","116","109.59482758620689"
"6","no-visualization","600","60","385","73.57142857142857"
"7","no-visualization","700","45","415","61.043373493975906"
"2","no-visualization","200","88","116","110.68103448275862"
"2","no-visualization","200","89","116","111.76724137931035"
"6","no-visualization","600","61","385","74.55064935064935"
"2","no-visualization","200","90","116","112.85344827586206"
"4","no-visualization","400","22","263","38.26615969581749"
"7","no-visualization","700","46","415","62.06746987951807"
"5","no-visualization","500","18","349","32.22922636103152"
"8","no-visualization","800","14","562","24.85053380782918"
"2","no-visualization","200","91","116","113.9396551724138"
"6","no-visualization","600","62","385","75.52987012987013"
"2","no-visualization","200","92","116","115.02586206896552"
"4","no-visualization","400","23","259","39.91891891891892"
"7","no-visualization","700","47","415","63.091566265060244"
"5","no-visualization","500","19","345","33.527536231884056"
"2","no-visualization","200","93","116","116.11206896551724"
"2","no-visualization","200","94","116","117.19827586206897"
"4","no-visualization","400","24","256","41.4765625"
"6","no-visualization","600","63","385","76.50909090909092"
"9","no-visualization","900","0","900","14.707777777777778"
"5","no-visualization","500","20","344","34.56395348837209"
"8","no-visualization","800","15","554","25.904332129963898"
"2","no-visualization","200","95","116","118.28448275862068"
"7","no-visualization","700","48","415","64.1156626506024"
"4","no-visualization","400","25","252","43.25396825396825"
"2","no-visualization","200","96","116","119.37068965517241"
"6","no-visualization","600","64","385","77.48831168831168"
"5","no-visualization","500","21","343","35.60932944606414"
"2","no-visualization","200","97","116","120.45689655172414"
"7","no-visualization","700","49","415","65.13975903614458"
"4","no-visualization","400","26","252","44.392857142857146"
"8","no-visualization","800","16","548","26.906934306569344"
"2","no-visualization","200","98","116","121.54310344827586"
"6","no-visualization","600","65","385","78.46753246753246"
"2","no-visualization","200","99","116","122.62931034482759"
"5","no-visualization","500","22","339","36.9882005899705"
"7","no-visualization","700","50","415","66.16385542168675"
"4","no-visualization","400","27","252","45.53174603174603"
"1","no-visualization","100","8","87","19.597701149425287"
"2","no-visualization","200","100","116","123.71551724137932"
"9","no-visualization","900","1","900","14.523333333333333"
"5","no-visualization","500","23","333","38.645645645645644"
"4","no-visualization","400","28","252","46.67063492063492"
"6","no-visualization","600","66","385","79.44675324675325"
"7","no-visualization","700","51","415","67.18795180722891"
"8","no-visualization","800","17","542","27.944649446494466"
"7","no-visualization","700","52","415","68.21204819277108"
"5","no-visualization","500","24","330","40.018181818181816"
"8","no-visualization","800","18","537","28.962756052141525"
"4","no-visualization","400","29","252","47.80952380952381"
"6","no-visualization","600","67","385","80.42597402597403"
"7","no-visualization","700","53","415","69.23614457831326"
"9","no-visualization","900","2","892","14.532511210762332"
"5","no-visualization","500","25","325","41.68"
"6","no-visualization","600","68","385","81.40519480519481"
"4","no-visualization","400","30","252","48.948412698412696"
"7","no-visualization","700","54","415","70.26024096385542"
"8","no-visualization","800","19","526","30.35171102661597"
"5","no-visualization","500","26","325","42.744615384615386"
"6","no-visualization","600","69","385","82.38441558441558"
"7","no-visualization","700","55","415","71.28433734939759"
"4","no-visualization","400","31","252","50.08730158730159"
"9","no-visualization","900","3","875","14.741714285714286"
"7","no-visualization","700","56","415","72.30843373493975"
"5","no-visualization","500","27","325","43.80923076923077"
"8","no-visualization","800","20","517","31.69825918762089"
"4","no-visualization","400","32","252","51.226190476190474"
"6","no-visualization","600","70","385","83.36363636363636"
"7","no-visualization","700","57","415","73.33253012048193"
"5","no-visualization","500","28","325","44.87384615384615"
"4","no-visualization","400","33","252","52.36507936507937"
"8","no-visualization","800","21","516","32.60077519379845"
"6","no-visualization","600","71","385","84.34285714285714"
"9","no-visualization","900","4","844","15.2760663507109"
"7","no-visualization","700","58","415","74.3566265060241"
"4","no-visualization","400","34","252","53.50396825396825"
"5","no-visualization","500","29","325","45.93846153846154"
"1","no-visualization","100","9","82","21.390243902439025"
"8","no-visualization","800","22","511","33.771037181996086"
"6","no-visualization","600","72","385","85.32207792207792"
"5","no-visualization","500","30","325","47.003076923076925"
"4","no-visualization","400","35","252","54.642857142857146"
"7","no-visualization","700","59","415","75.38072289156626"
"9","no-visualization","900","5","816","15.877450980392156"
"5","no-visualization","500","31","325","48.067692307692305"
"6","no-visualization","600","73","385","86.3012987012987"
"4","no-visualization","400","36","252","55.78174603174603"
"8","no-visualization","800","23","506","34.976284584980235"
"7","no-visualization","700","60","415","76.40481927710843"
"6","no-visualization","600","74","385","87.28051948051949"
"5","no-visualization","500","32","325","49.13230769230769"
"10","no-visualization","1000","0","1000","15.016"
"4","no-visualization","400","37","252","56.92063492063492"
"9","no-visualization","900","6","782","16.73017902813299"
"8","no-visualization","800","24","498","36.43574297188755"
"4","no-visualization","400","38","252","58.05952380952381"
"5","no-visualization","500","33","325","50.19692307692308"
"7","no-visualization","700","61","415","77.4289156626506"
"6","no-visualization","600","75","385","88.25974025974025"
