"BehaviorSpace results (NetLogo 6.3.0)"
"Sugarscape 2 Constant Growback.nlogo"
"experiment"
"09/04/2023 22:22:31:802 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","visualization","initial-population","[step]","count turtles","mean [sugar] of turtles"
"4","no-visualization","400","49","244","60.72950819672131"
"6","no-visualization","600","42","327","51.01223241590214"
"3","no-visualization","300","59","176","83.78977272727273"
"1","no-visualization","100","85","69","131.40579710144928"
"8","no-visualization","800","28","402","33.96517412935324"
"5","no-visualization","500","52","268","66.5"
"1","no-visualization","100","86","69","132.84057971014494"
"4","no-visualization","400","50","244","61.6844262295082"
"3","no-visualization","300","60","176","85.03977272727273"
"7","no-visualization","700","28","383","34.19582245430809"
"6","no-visualization","600","43","325","52.28923076923077"
"1","no-visualization","100","87","69","134.20289855072463"
"3","no-visualization","300","61","176","86.28977272727273"
"5","no-visualization","500","53","268","67.54850746268657"
"1","no-visualization","100","88","69","135.57971014492753"
"4","no-visualization","400","51","243","62.95061728395062"
"8","no-visualization","800","29","397","35.168765743073045"
"7","no-visualization","700","29","380","35.28421052631579"
"1","no-visualization","100","89","69","136.9855072463768"
"3","no-visualization","300","62","176","87.54545454545455"
"6","no-visualization","600","44","325","53.27076923076923"
"4","no-visualization","400","52","243","63.95061728395062"
"5","no-visualization","500","54","268","68.58208955223881"
"1","no-visualization","100","90","69","138.42028985507247"
"3","no-visualization","300","63","176","88.79545454545455"
"8","no-visualization","800","30","395","36.17974683544304"
"1","no-visualization","100","91","69","139.85507246376812"
"6","no-visualization","600","45","325","54.25846153846154"
"7","no-visualization","700","30","379","36.205804749340366"
"4","no-visualization","400","53","243","64.93827160493827"
"5","no-visualization","500","55","268","69.61940298507463"
"1","no-visualization","100","92","69","141.30434782608697"
"1","no-visualization","100","93","69","142.69565217391303"
"2","no-visualization","200","12","158","22.658227848101266"
"1","no-visualization","100","94","69","144.15942028985506"
"3","no-visualization","300","64","176","90.06818181818181"
"7","no-visualization","700","31","376","37.36436170212766"
"4","no-visualization","400","54","243","65.93004115226337"
"5","no-visualization","500","56","268","70.69029850746269"
"8","no-visualization","800","31","394","37.10659898477157"
"6","no-visualization","600","46","325","55.23692307692308"
"1","no-visualization","100","95","69","145.6086956521739"
"3","no-visualization","300","65","176","91.28977272727273"
"4","no-visualization","400","55","243","66.93827160493827"
"5","no-visualization","500","57","268","71.76492537313433"
"7","no-visualization","700","32","375","38.35466666666667"
"1","no-visualization","100","96","69","147.05797101449275"
"8","no-visualization","800","32","392","38.11224489795919"
"3","no-visualization","300","66","176","92.5284090909091"
"6","no-visualization","600","47","324","56.45679012345679"
"4","no-visualization","400","56","243","67.9753086419753"
"5","no-visualization","500","58","268","72.8544776119403"
"1","no-visualization","100","97","69","148.52173913043478"
"3","no-visualization","300","67","176","93.77272727272727"
"7","no-visualization","700","33","373","39.45308310991957"
"4","no-visualization","400","57","243","69.00411522633745"
"1","no-visualization","100","98","69","149.92753623188406"
"8","no-visualization","800","33","392","38.93877551020408"
"6","no-visualization","600","48","323","57.628482972136226"
"5","no-visualization","500","59","268","73.94029850746269"
"3","no-visualization","300","68","176","95.07954545454545"
"4","no-visualization","400","58","243","70.04526748971193"
"1","no-visualization","100","99","69","151.33333333333334"
"4","no-visualization","400","59","243","71.06584362139918"
"7","no-visualization","700","34","371","40.57951482479784"
"1","no-visualization","100","100","69","152.79710144927537"
"3","no-visualization","300","69","176","96.35795454545455"
"5","no-visualization","500","60","268","74.99626865671642"
"6","no-visualization","600","49","322","58.807453416149066"
"8","no-visualization","800","34","392","39.75765306122449"
"4","no-visualization","400","60","243","72.09053497942386"
"3","no-visualization","300","70","176","97.63068181818181"
"7","no-visualization","700","35","370","41.61891891891892"
"5","no-visualization","500","61","268","76.03731343283582"
"3","no-visualization","300","71","176","98.86363636363636"
"6","no-visualization","600","50","321","59.95638629283489"
"4","no-visualization","400","61","243","73.05761316872427"
"8","no-visualization","800","35","388","41.02319587628866"
"3","no-visualization","300","72","176","100.14772727272727"
"5","no-visualization","500","62","268","77.11194029850746"
"7","no-visualization","700","36","369","42.666666666666664"
"2","no-visualization","200","13","155","23.774193548387096"
"6","no-visualization","600","51","321","60.978193146417446"
"4","no-visualization","400","62","243","74.01646090534979"
"3","no-visualization","300","73","176","101.4090909090909"
"5","no-visualization","500","63","267","78.47940074906367"
"7","no-visualization","700","37","368","43.72282608695652"
"8","no-visualization","800","36","385","42.187012987012984"
"6","no-visualization","600","52","321","62.00311526479751"
"4","no-visualization","400","63","242","75.28512396694215"
"3","no-visualization","300","74","176","102.67045454545455"
"5","no-visualization","500","64","266","79.85338345864662"
"6","no-visualization","600","53","319","63.39811912225705"
"3","no-visualization","300","75","176","103.86363636363636"
"7","no-visualization","700","38","368","44.66847826086956"
"8","no-visualization","800","37","383","43.30809399477807"
"4","no-visualization","400","64","242","76.30165289256199"
"3","no-visualization","300","76","176","105.10227272727273"
"5","no-visualization","500","65","266","80.95488721804512"
"8","no-visualization","800","38","381","44.43307086614173"
"6","no-visualization","600","54","318","64.61949685534591"
"4","no-visualization","400","65","242","77.30578512396694"
"3","no-visualization","300","77","176","106.36363636363636"
"7","no-visualization","700","39","367","45.71934604904632"
"5","no-visualization","500","66","266","82.04887218045113"
"8","no-visualization","800","39","381","45.335958005249346"
"3","no-visualization","300","78","176","107.66477272727273"
"4","no-visualization","400","66","242","78.3305785123967"
"6","no-visualization","600","55","318","65.63522012578616"
"5","no-visualization","500","67","266","83.1390977443609"
"8","no-visualization","800","40","380","46.357894736842105"
"3","no-visualization","300","79","176","108.94318181818181"
"7","no-visualization","700","40","365","46.917808219178085"
"4","no-visualization","400","67","242","79.3305785123967"
"3","no-visualization","300","80","176","110.24431818181819"
"6","no-visualization","600","56","318","66.66666666666667"
"4","no-visualization","400","68","242","80.33884297520662"
"5","no-visualization","500","68","266","84.2593984962406"
"9","no-visualization","900","0","900","14.867777777777778"
"8","no-visualization","800","41","380","47.257894736842104"
"7","no-visualization","700","41","364","48.002747252747255"
"3","no-visualization","300","81","176","111.4715909090909"
"6","no-visualization","600","57","318","67.70440251572327"
"4","no-visualization","400","69","242","81.32644628099173"
"5","no-visualization","500","69","266","85.36842105263158"
"3","no-visualization","300","82","176","112.7159090909091"
"7","no-visualization","700","42","364","48.956043956043956"
"8","no-visualization","800","42","377","48.53846153846154"
"4","no-visualization","400","70","242","82.35537190082644"
"3","no-visualization","300","83","176","113.95454545454545"
"5","no-visualization","500","70","266","86.48496240601504"
"6","no-visualization","600","58","318","68.74842767295597"
"7","no-visualization","700","43","364","49.895604395604394"
"2","no-visualization","200","14","153","24.836601307189543"
"3","no-visualization","300","84","176","115.1534090909091"
"4","no-visualization","400","71","242","83.36363636363636"
"8","no-visualization","800","43","377","49.42705570291777"
"9","no-visualization","900","1","900","14.698888888888888"
"5","no-visualization","500","71","266","87.60902255639098"
"7","no-visualization","700","44","363","51"
"6","no-visualization","600","59","318","69.80817610062893"
"3","no-visualization","300","85","176","116.35227272727273"
"4","no-visualization","400","72","242","84.37603305785125"
"5","no-visualization","500","72","266","88.69924812030075"
"3","no-visualization","300","86","176","117.57954545454545"
"8","no-visualization","800","44","377","50.355437665782496"
"7","no-visualization","700","45","363","51.95316804407714"
"6","no-visualization","600","60","318","70.82704402515724"
"4","no-visualization","400","73","242","85.38842975206612"
"3","no-visualization","300","87","176","118.875"
"5","no-visualization","500","73","266","89.78947368421052"
"3","no-visualization","300","88","176","120.1534090909091"
"8","no-visualization","800","45","376","51.398936170212764"
"9","no-visualization","900","2","895","14.359776536312848"
"4","no-visualization","400","74","242","86.45454545454545"
"7","no-visualization","700","46","361","53.21052631578947"
"5","no-visualization","500","74","265","91.20377358490566"
"6","no-visualization","600","61","317","72.05047318611987"
"3","no-visualization","300","89","176","121.43181818181819"
"8","no-visualization","800","46","376","52.327127659574465"
"4","no-visualization","400","75","242","87.50413223140495"
"5","no-visualization","500","75","264","92.64393939393939"
"7","no-visualization","700","47","360","54.327777777777776"
"3","no-visualization","300","90","176","122.69886363636364"
"6","no-visualization","600","62","317","73.08517350157729"
"4","no-visualization","400","76","241","88.85892116182572"
"9","no-visualization","900","3","870","14.029885057471265"
"3","no-visualization","300","91","176","123.95454545454545"
"7","no-visualization","700","48","360","55.3"
"8","no-visualization","800","47","375","53.416"
"4","no-visualization","400","77","240","90.2375"
"6","no-visualization","600","63","317","74.10410094637224"
"3","no-visualization","300","92","176","125.20454545454545"
"5","no-visualization","500","76","264","93.76136363636364"
"3","no-visualization","300","93","176","126.44886363636364"
"4","no-visualization","400","78","240","91.275"
"7","no-visualization","700","49","360","56.263888888888886"
"8","no-visualization","800","48","375","54.35466666666667"
"9","no-visualization","900","4","845","13.772781065088758"
"6","no-visualization","600","64","317","75.12618296529969"
"3","no-visualization","300","94","176","127.73295454545455"
"4","no-visualization","400","79","240","92.33333333333333"
"7","no-visualization","700","50","359","57.41225626740947"
"3","no-visualization","300","95","176","128.98863636363637"
"8","no-visualization","800","49","375","55.27733333333333"
"4","no-visualization","400","80","240","93.35833333333333"
"3","no-visualization","300","96","176","130.2443181818182"
"7","no-visualization","700","51","357","58.72829131652661"
"4","no-visualization","400","81","240","94.41666666666667"
"2","no-visualization","200","15","152","25.769736842105264"
"5","no-visualization","500","77","263","95.24714828897338"
"3","no-visualization","300","97","176","131.5340909090909"
"4","no-visualization","400","82","240","95.45833333333333"
"3","no-visualization","300","98","176","132.80113636363637"
"6","no-visualization","600","65","317","76.17981072555204"
"7","no-visualization","700","52","357","59.6890756302521"
"8","no-visualization","800","50","375","56.19733333333333"
"9","no-visualization","900","5","809","13.77379480840544"
"5","no-visualization","500","78","263","96.38783269961978"
"3","no-visualization","300","99","176","134.04545454545453"
"4","no-visualization","400","83","240","96.49583333333334"
"3","no-visualization","300","100","176","135.2556818181818"
"7","no-visualization","700","53","356","60.842696629213485"
"4","no-visualization","400","84","239","97.92050209205021"
"8","no-visualization","800","51","375","57.13333333333333"
"7","no-visualization","700","54","355","62.00281690140845"
"2","no-visualization","200","16","151","26.721854304635762"
"5","no-visualization","500","79","263","97.52091254752851"
"4","no-visualization","400","85","239","98.96652719665272"
"6","no-visualization","600","66","317","77.21451104100946"
